Id,Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2014-15_x,2015-16_x,2016-17_x,2017-18_x,2014-15_y,2015-16_y,2016-17_y,2017-18_y,2014-15,2015-16,2016-17,2017-18,2014-15%,2015-16%,2016-17%,2017-18%
11,Health Portfolio,Department of Health,Outcome 2: Access to Pharmaceutical Services,Programme expenses 2.3: Targeted assistance - pharmaceuticals,Departmental expenses,Departmental appropriation,Programme support,2414,2358,2332,2389,4079,3825,3614,3609,1665,1467,1282,1220,0.689726595,0.622137405,0.54974271,0.510673922
12,Communications Portfolio,Department of Communications,"Outcome 1: Promote an innovative and competitive communications sector, through policy development, advice and program delivery, so all Australians can realise the full potential of digital technologies and communications services",Programme 1.1: Digital Technologies and Communications Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Stay Smart Online,1592,1622,1657,1692,520,500,500,500,-1072,-1122,-1157,-1192,-0.673366834,-0.691738594,-0.698249849,-0.704491726
13,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.10: Working Age Payments,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Partner Allowance Benefit,4296,505,531,530,7120,3896,2843,2179,2824,3391,2312,1649,0.65735568,6.714851485,4.354048964,3.111320755
14,Health Portfolio,Department of Health,Outcome 5: Primary Health Care,Programme expenses 5.2: Primary care practice incentives,Departmental expenses,Departmental appropriation,Programme support,4400,4278,4023,3954,1529,1383,1262,1259,-2871,-2895,-2761,-2695,-0.6525,-0.676718093,-0.686303753,-0.681588265
15,Social Services Portfolio,Department of Social Services,Outcome 3: Ageing and Aged Care,Programme 3.3: Home Care,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Home Care,1282,1781,0,0,500,1363,0,0,-782,-418,0,0,-0.609984399,-0.234699607,0,0
16,Health Portfolio,Department of Health,Outcome 3: Access to Medical and Dental Services,Programme expenses 3.2: Targeted assistance - medical,Departmental expenses,Departmental appropriation,Programme support,2502,2444,2416,2476,990,899,822,820,-1512,-1545,-1594,-1656,-0.604316547,-0.632160393,-0.659768212,-0.668820679
17,Health Portfolio,Department of Health,Outcome 8: Health Workforce Capacity,Programme expenses 8.2: Workforce Development and Innovation,Departmental expenses,Departmental appropriation,Programme support,23729,19795,17757,18027,9437,7657,6877,6966,-14292,-12138,-10880,-11061,-0.602300982,-0.613185148,-0.612716112,-0.613579631
18,Social Services Portfolio,Department of Social Services,Outcome 4: Housing,Programme 4.3: Programme Support for Outcome 4,Departmental expenses,Departmental appropriation,Programme support,13567,9661,9350,9509,21093,20490,19397,18235,7526,10829,10047,8726,0.554728385,1.120898458,1.074545455,0.917656957
19,Communications Portfolio,Department of Communications,"Outcome 1: Promote an innovative and competitive communications sector, through policy development, advice and program delivery, so all Australians can realise the full potential of digital technologies and communications services",Programme 1.1: Digital Technologies and Communications Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Cybersafety,678,691,706,721,331,0,0,0,-347,-691,-706,-721,-0.51179941,-1,-1,-1
20,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.3: Income Support for Vulnerable People,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Special Benefit,125414,156089,186391,218787,65747,85808,125981,159995,-59667,-70281,-60410,-58792,-0.475760282,-0.45026235,-0.324103632,-0.268717977
21,Environment Portfolio,Department of the Environment,"Outcome 4: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 4.1: Water Reform,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Commonwealth Contribution under the Murray-Darling Basin Agreement,21077,22300,23100,0,11300,22300,23100,0,-9777,0,0,0,-0.46387057,0,0,0
22,Social Services Portfolio,Department of Social Services,Outcome 3: Ageing and Aged Care,Programme 3.4: Residential and Flexible Care,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Residential and Flexible Care,186092,127768,76993,63770,100591,109358,109086,102087,-85501,-18410,32093,38317,-0.459455538,-0.144089287,0.416830101,0.600862475
23,Social Services Portfolio,Department of Social Services,Outcome 4: Housing,Programme 4.1: Housing and Homelessness,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Housing and Homelessness Service Improvement and Sector Support,5164,5186,5320,5458,2839,1339,1360,0,-2325,-3847,-3960,-5458,-0.450232378,-0.741804859,-0.744360902,-1
24,Health Portfolio,Department of Health,Outcome 3: Access to Medical and Dental Services,Programme expenses 3.4: Medical indemnity,Administered expenses,Special appropriation,Midwife Professional Indemnity (Run-off Cover Support Payment) Act 2010,1450,4564,8132,10090,821,1508,4747,8459,-629,-3056,-3385,-1631,-0.433793103,-0.669588081,-0.416256763,-0.161645193
25,Health Portfolio,Department of Health,Outcome 3: Access to Medical and Dental Services,Programme expenses 3.4: Medical indemnity,Departmental expenses,Departmental appropriation,Programme support,360,352,348,356,515,467,428,427,155,115,80,71,0.430555556,0.326704545,0.229885057,0.199438202
26,Social Services Portfolio,Department of Social Services,Outcome 5: Disability and Carers,"Programme 5.1: Disability, Mental Health and Carers",Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Community Mental Health,78623,78820,82960,86971,45646,62258,57059,52082,-32977,-16562,-25901,-34889,-0.419431973,-0.210124334,-0.312210704,-0.401156707
27,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.4: Veterans' Community Care & Support,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),JV Home Maintenance,363,361,367,374,212,0,0,0,-151,-361,-367,-374,-0.415977961,-1,-1,-1
28,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.5: Veterans' Counselling and Other Health Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Veterans' employment & training,572,573,588,604,797,792,816,839,225,219,228,235,0.393356643,0.382198953,0.387755102,0.389072848
29,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.6: Military Rehabilitation and Compensation Acts Payments - Income Support & Compensation,Administered expenses,Special appropriation,"Safety, Rehabilitation and Compensation Act 1988 - Medical examinations",3797,3394,3398,3404,5187,4868,4402,4584,1390,1474,1004,1180,0.366078483,0.434295816,0.295467922,0.346650999
30,Social Services Portfolio,Department of Social Services,Outcome 3: Ageing and Aged Care,Programme 3.4: Residential and Flexible Care,Administered expenses,Special appropriations,Aged Care Act 1997 - Flexible Care Subsidies,310615,240227,245364,250219,420383,407264,424691,452395,109768,167037,179327,202176,0.353389244,0.695329834,0.730861088,0.807996195
31,Environment Portfolio,Department of the Environment,"Outcome 1: Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances.","Programme 1.6: Management of Hazardous Wastes, Substances and Pollutants",Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Other,1228,529,529,529,799,100,100,100,-429,-429,-429,-429,-0.349348534,-0.810964083,-0.810964083,-0.810964083
32,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.5 Veterans' Children Education Scheme,Departmental expenses,Departmental appropriation,Programme support,2468,2400,2319,2350,3330,3191,3148,3143,862,791,829,793,0.349270665,0.329583333,0.357481673,0.337446809
33,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.5: Veterans' Counselling and Other Health Services,Departmental expenses,Departmental appropriation,Programme support,42630,41604,41098,41159,28081,27966,27562,27381,-14549,-13638,-13536,-13778,-0.34128548,-0.327805019,-0.329359093,-0.334750601
34,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.6: Military Rehabilitation and Compensation Acts Payments - Income Support & Compensation,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Other income support and compensation-related payments - MRCA,1325,1458,1604,1645,1777,1941,571,437,452,483,-1033,-1208,0.341132075,0.33127572,-0.644014963,-0.734346505
35,Health Portfolio,Department of Health,Outcome 3: Access to Medical and Dental Services,Programme expenses 3.3: Pathology and diagnostic imaging services and radiation oncology,Departmental expenses,Departmental appropriation,Programme support,7973,7791,7705,7892,5304,4797,4376,4367,-2669,-2994,-3329,-3525,-0.334754797,-0.384289565,-0.432057106,-0.44665484
36,Health Portfolio,Department of Health,Outcome 6: Private Health,Programme expenses 6.1: Private health insurance,Administered expenses,Special appropriation,Private Health Insurance Act 2007 - council administration levy,6768,6974,7186,7404,4519,6974,7186,7404,-2249,0,0,0,-0.332299054,0,0,0
37,Health Portfolio,Department of Health,Outcome 8: Health Workforce Capacity,Programme expenses 8.1: Workforce and Rural Distribution,Departmental expenses,Departmental appropriation,Programme support,27671,26669,24635,24477,36849,35358,32420,31498,9178,8689,7785,7021,0.331682989,0.325808992,0.316013802,0.286840708
38,Health Portfolio,Department of Health,Outcome 2: Access to Pharmaceutical Services,Programme 2.1: Community pharmacy and pharmaceutical awareness,Departmental expenses,Departmental appropriation,Programme support,8075,7883,7610,7804,10618,9732,8845,8833,2543,1849,1235,1029,0.314922601,0.234555372,0.162286465,0.131855459
39,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.6: Military Rehabilitation and Compensation Acts Payments - Income Support & Compensation,Administered expenses,Special appropriation,Military Rehabilitation and Compensation Act 2004 - Income maintenance payments,72102,80780,90677,93098,94072,106963,115339,125951,21970,26183,24662,32853,0.30470722,0.324127259,0.271976356,0.352886206
40,Parliamentary Departments,Department of the House of Representatives,Outcome 1: Advisory and administrative services support the House of Representatives to fulfil its representative and legislative role.,Program 1: Other Departmental DHOR,Departmental expenses,Departmental appropriation,1.5 - Members' and Corporate Support,5771,5469,5502,5405,7503,7446,7416,7278,1732,1977,1914,1873,0.300121296,0.361492046,0.347873501,0.34653099
41,Social Services Portfolio,Department of Social Services,Outcome 2: Families and Communities,Programme 2.1: Families and Communities,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Families and Communities Service Improvement,2039,2065,2092,2119,2639,2657,2679,2698,600,592,587,579,0.294261893,0.286682809,0.280592734,0.273242095
42,Health Portfolio,Department of Health,Outcome 3: Access to Medical and Dental Services,Programme expenses 3.6: Dental services,Administered expenses,Special appropriation,Dental Benefits Act 2008,594607,619531,637583,665301,424607,605451,615973,629706,-170000,-14080,-21610,-35595,-0.285903126,-0.022726869,-0.033893626,-0.053502099
43,Employment Portfolio,Department of Employment,"Outcome 2: Facilitate jobs growth through policies that promote fair, productive and safe workplaces.",Programme 2.1: Employee Assistance,Administered expenses,Special appropriation,Fair Entitlements Guarantee Act 2012,204997,198768,199264,195532,263505,198768,199264,195532,58508,0,0,0,0.285409055,0,0,0
44,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.6 Military Rehabilitation and Compensation Acts - Health & Other Care Services,Administered expenses,Special appropriation,Military Rehabilitation and Compensation Act 2004 - Rehabilitation services,7971,8823,9765,9961,10158,10741,11129,11514,2187,1918,1364,1553,0.27436959,0.217386377,0.13968254,0.155908041
45,Employment Portfolio,Department of Employment,"Outcome 2: Facilitate jobs growth through policies that promote fair, productive and safe workplaces.",Programme 2.3: Workers Compensation Payments,Administered expenses,Special appropriation,"Safety, Rehabilitation & Compensation Act 1998",39503,38282,36449,34885,50069,36515,35312,34109,10566,-1767,-1137,-776,0.267473356,-0.046157463,-0.031194271,-0.022244518
46,Health Portfolio,Department of Health,Outcome 1:  Population Health,Programme 1.3: Immunisation,Departmental expenses,Departmental appropriation,Programme support,7817,7631,7541,7737,9884,9293,8471,8452,2067,1662,930,715,0.264423692,0.217795833,0.123325819,0.09241308
47,Social Services Portfolio,Department of Social Services,Outcome 5: Disability and Carers,Programme 5.2: National Disability Insurance Scheme,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),National Disability Insurance Scheme,1991,2434,0,0,1506,1278,1635,0,-485,-1156,1635,0,-0.243596183,-0.474938373,0,0
48,Health Portfolio,Department of Health,Outcome 5: Primary Health Care,Programme expenses 5.1: Primary care financing quality and access,Departmental expenses,Departmental appropriation,Programme support,28854,28142,27354,27639,35775,32862,29384,29239,6921,4720,2030,1600,0.239862757,0.167720844,0.074212181,0.057889215
49,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.6: Military Rehabilitation and Compensation Acts Payments - Income Support & Compensation,Administered expenses,Special appropriation,Military Rehabilitation and Compensation Act 2004 - Medical examinations,9417,8811,9102,9232,11577,12243,12684,13124,2160,3432,3582,3892,0.229372412,0.389513109,0.393539881,0.421577123
50,Social Services Portfolio,Department of Human Services,"Outcome 1: Support individuals, families and communities to achieve greater self-sufficiency; through the delivery of policy advice and high quality accessible social, health and child support services and other payments; and support providers and businesses through convenient and efficient service delivery.",Programme 1.3: Child Support,Administered expenses,Special appropriation,Child Support Act - s77 - unremitted deductions,74066,75630,77351,79269,57173,59627,59770,61579,-16893,-16003,-17581,-17690,-0.228080361,-0.211595928,-0.227288594,-0.223164163
51,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.6: Military Rehabilitation and Compensation Acts Payments - Income Support & Compensation,Administered expenses,Special appropriation,"Safety, Rehabilitation and Compensation Act 1988 - Permanent impairment",37085,34304,31700,32492,45354,40053,36884,37750,8269,5749,5184,5258,0.222974248,0.167589785,0.163533123,0.161824449
52,Attorney-General's Portfolio,Australian Federal Police,Outcome 1: Reduce criminal and security threats to Australia's collective economic and societal interests through co-operative policing services,Programme 1.1: Federal Policing and National Security,Departmental expenses,Special Account,Services for Other Entities and Trust Moneys,6988,6988,6988,6988,8510,8500,8495,8509,1522,1512,1507,1521,0.217801946,0.216370922,0.215655409,0.217658844
53,Health Portfolio,Department of Health,Outcome 5: Primary Health Care,Programme expenses 5.4: Mental health,Departmental expenses,Departmental appropriation,Programme support,18020,17070,16734,17137,21870,19386,17519,17405,3850,2316,785,268,0.213651498,0.135676626,0.046910482,0.015638677
54,Environment Portfolio,Department of the Environment,"Outcome 4: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 4.1: Water Reform,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Sustainable Rural Water Use and Infrastructure,244279,304065,192844,199054,192279,304065,251012,199054,-52000,0,58168,0,-0.212871348,0,0.301632408,0
55,Health Portfolio,Department of Health,Outcome 3: Access to Medical and Dental Services,Programme expenses 3.4: Medical indemnity,Administered expenses,Special appropriation,Medical Indemnity Act 2002,100148,106495,113442,121089,79748,82495,85642,89189,-20400,-24000,-27800,-31900,-0.203698526,-0.225362693,-0.245059149,-0.263442592
56,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.4: Income Support for People in Special Circumstances,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Bereavement Allowance,5594,6297,7034,7853,4464,4998,5554,6176,-1130,-1299,-1480,-1677,-0.202002145,-0.206288709,-0.210406597,-0.213548962
57,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.6: Military Rehabilitation and Compensation Acts Payments - Income Support & Compensation,Administered expenses,Special appropriation,Military Rehabilitation and Compensation Act 2004 - Benefits for eligible dependants,8273,8614,8879,9163,9942,10268,10532,10831,1669,1654,1653,1668,0.201740602,0.192013002,0.186169614,0.182036451
58,Health Portfolio,Department of Health,Outcome 2: Access to Pharmaceutical Services,Programme expenses 2.4: Targeted assistance - aids and appliances,Departmental expenses,Departmental appropriation,Programme support,2081,2029,2004,2057,2496,2302,2140,2136,415,273,136,79,0.199423354,0.134549039,0.067864271,0.038405445
59,Health Portfolio,Department of Health,Outcome 3: Access to Medical and Dental Services,Programme expenses 3.5: Hearing services,Departmental expenses,Departmental appropriation,Programme support,11552,11277,11147,11429,13772,12641,11714,11692,2220,1364,567,263,0.192174515,0.120954154,0.050865704,0.023011637
60,Health Portfolio,Department of Health,Outcome 1:  Population Health,Programme 1.3: Immunisation,Administered expenses,Special appropriation,National Health Act 1953 - essential vaccines,134309,138297,139279,142650,159905,242028,281826,287994,25596,103731,142547,145344,0.190575464,0.750059654,1.023463695,1.018885384
61,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.6: Military Rehabilitation and Compensation Acts Payments - Income Support & Compensation,Administered expenses,Special appropriation,"Safety, Rehabilitation and Compensation Act 1988 - Benefits for eligible dependants",20331,19326,18318,18867,16503,16506,16210,15700,-3828,-2820,-2108,-3167,-0.188283901,-0.145917417,-0.115078065,-0.167859225
62,Health Portfolio,Department of Health,"Outcome 7: Health Infrastructure, Regulation, Safety and Quality",Programme 7.6: Blood and organ donation,Departmental expenses,Departmental appropriation,Programme support,4389,3900,3706,3694,5214,4363,3824,3815,825,463,118,121,0.187969925,0.118717949,0.031840259,0.03275582
63,Social Services Portfolio,Department of Social Services,Outcome 1: Social Security,Programme 1.10: Working Age Payments,Administered expenses,Special appropriations,Social Security (Administration) Act 1999 - Partner Allowance Pension,64847,23973,120,20,76683,55320,39839,26330,11836,31347,39719,26310,0.182521936,1.307596046,330.9916667,1315.5
64,Social Services Portfolio,Department of Social Services,Outcome 2: Families and Communities,Programme 2.1: Families and Communities,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Strengthening Communities,27339,28483,28610,28178,22742,38688,28605,27594,-4597,10205,-5,-584,-0.168148067,0.358283889,-0.000174764,-0.020725389
65,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.1:  General Medical Consultations and Services,Departmental expenses,Departmental appropriation,Programme support,23435,23075,22674,22739,19499,19236,18839,17936,-3936,-3839,-3835,-4803,-0.167953915,-0.166370531,-0.169136456,-0.211223009
66,Health Portfolio,Department of Health,Outcome 4: Acute Care,Programme expenses 4.1: Public hospitals and information,Departmental expenses,Departmental appropriation,Programme support,49154,47668,46721,46828,57264,53390,51747,52479,8110,5722,5026,5651,0.164991659,0.1200386,0.107574752,0.120675664
67,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.1:  Veterans' Income Support and Allowances,Departmental expenses,Departmental appropriation,Programme support,47212,45112,43615,44857,54041,51195,51983,50901,6829,6083,8368,6044,0.144645429,0.134842171,0.191860598,0.134739283
68,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.6: Military Rehabilitation and Compensation Acts Payments - Income Support & Compensation,Administered expenses,Special appropriation,Military Rehabilitation and Compensation Act 2004 - Permanent impairment,124168,135076,146795,150422,142106,137782,129184,127408,17938,2706,-17611,-23014,0.144465563,0.020033167,-0.119970026,-0.152996237
69,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.2: Veterans' Disability Support,Departmental expenses,Departmental appropriation,Programme support,38041,36959,35833,36324,43413,42151,41474,41408,5372,5192,5641,5084,0.141216056,0.140479991,0.15742472,0.139962559
70,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.3: Assistance to Defence Widow/ers and Dependants,Departmental expenses,Departmental appropriation,Programme support,10323,10038,9726,9857,11753,11476,11402,11381,1430,1438,1676,1524,0.138525622,0.143255629,0.172321612,0.154610936
71,Defence Portfolio,Department of Veterans' Affairs,"Outcome 1: Maintain and enhance the financial wellbeing and self sufficiency of eligible persons and their dependants through access to income support, compensation, and other support services, including advice and information about entitlements.",Programme 1.6: Military Rehabilitation and Compensation Acts Payments - Income Support & Compensation,Administered expenses,Special appropriation,"Safety, Rehabilitation and Compensation Act 1988 - Incapacity payments",78830,70012,64319,61765,68060,67892,63951,62512,-10770,-2120,-368,747,-0.136623113,-0.030280523,-0.005721482,0.012094228
72,Employment Portfolio,Department of Employment,"Outcome 2: Facilitate jobs growth through policies that promote fair, productive and safe workplaces.",Programme 2.3: Workers Compensation Payments,Administered expenses,Special appropriation,Asbestos related claims Act 2005,26356,30031,31586,32543,22887,33211,32574,34472,-3469,3180,988,1929,-0.131620883,0.10589058,0.031279681,0.05927542
73,Environment Portfolio,Department of the Environment,"Outcome 4: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 4.1: Water Reform,Departmental expenses,Departmental appropriation,Departmental Programme Support,52528,51412,48332,31912,45693,46442,44307,38519,-6835,-4970,-4025,6607,-0.130121078,-0.096670038,-0.083278159,0.207038105
74,Environment Portfolio,Department of the Environment,"Outcome 4: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 4.1: Water Reform,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),National Urban Water and Desalination Plan,26559,13860,0,0,23151,8248,0,0,-3408,-5612,0,0,-0.128318084,-0.404906205,0,0
75,Defence Portfolio,Department of Veterans' Affairs,"Outcome 2:   Maintain and enhance the physical wellbeing and quality of life of eligible persons and their dependants through health and other care services that promote early intervention, prevention and treatment, including advice and information about health service entitlements.",Programme 2.4: Veterans' Community Care & Support,Administered expenses,Special appropriation,Veterans' Entitlements Act 1986 (VEA) - Residential care,1481535,1575394,1679919,1801518,1303595,1385786,1476175,1581802,-177940,-189608,-203744,-219716,-0.120105161,-0.120355924,-0.121282038,-0.12196159
